date,vaccine,total_vaccinations,location
2021-03-29,Moderna,145590,Czechia
2021-03-29,Oxford/AstraZeneca,213959,Czechia
2021-03-29,Pfizer/BioNTech,1257812,Czechia
2021-03-30,Pfizer/BioNTech,1289792,Czechia
2021-03-30,Moderna,154146,Czechia
2021-03-30,Oxford/AstraZeneca,219121,Czechia
2021-03-31,Moderna,164651,Czechia
2021-03-31,Oxford/AstraZeneca,223906,Czechia
2021-03-31,Pfizer/BioNTech,1323105,Czechia
2021-04-01,Moderna,174664,Czechia
2021-04-01,Oxford/AstraZeneca,228089,Czechia
2021-04-01,Pfizer/BioNTech,1363804,Czechia
2021-04-02,Oxford/AstraZeneca,228498,Czechia
2021-04-02,Moderna,177069,Czechia
2021-04-02,Pfizer/BioNTech,1379993,Czechia
2021-04-03,Oxford/AstraZeneca,228671,Czechia
2021-04-03,Moderna,178781,Czechia
2021-04-03,Pfizer/BioNTech,1392324,Czechia
2021-04-04,Oxford/AstraZeneca,228674,Czechia
2021-04-04,Moderna,179957,Czechia
2021-04-04,Pfizer/BioNTech,1401869,Czechia
2021-04-05,Oxford/AstraZeneca,228732,Czechia
2021-04-05,Moderna,181172,Czechia
2021-04-05,Pfizer/BioNTech,1408852,Czechia
